Time,Good Signal Quality(0-100),Attention,Meditation,Delta,Theta,Low Alpha,High Alpha,Low Beta,High Beta,Low Gamma,High Gamma
2022/07/14_15:26:23,100,54,56,3.0,7.9,17.6,5.6,10.7,3.9,4.4,3.9
2022/07/14_15:26:24,100,44,61,0.5,6.8,8.7,5.6,10.3,5.0,15.7,3.7
2022/07/14_15:26:25,100,54,56,0.2,1.7,2.4,4.2,3.5,7.1,3.7,1.5
2022/07/14_15:26:26,100,61,51,1.6,5.8,8.7,9.4,11.0,6.2,2.8,5.9
2022/07/14_15:26:27,100,77,27,0.6,8.4,3.4,1.9,5.4,14.4,8.5,4.5
2022/07/14_15:26:28,100,87,26,0.9,4.4,2.1,8.3,6.4,12.4,7.8,7.0
2022/07/14_15:26:29,100,80,17,0.6,6.1,1.4,4.2,3.1,5.3,7.3,5.7
2022/07/14_15:26:30,100,81,27,1.8,1.8,7.0,9.4,4.2,5.3,7.9,6.7
2022/07/14_15:26:31,100,78,38,0.5,3.6,1.1,3.9,4.1,4.9,6.7,4.7
2022/07/14_15:26:32,100,78,41,2.2,3.2,0.6,3.1,1.7,6.6,3.1,3.3
2022/07/14_15:26:33,100,75,37,0.0,5.9,12.4,9.6,3.3,6.6,10.1,6.5
2022/07/14_15:26:34,100,69,34,2.5,16.3,8.7,4.6,7.6,10.2,4.8,8.6
2022/07/14_15:26:35,100,69,34,2.5,16.3,8.7,4.6,7.6,10.2,4.8,8.6
2022/07/14_15:26:36,100,69,38,2.7,5.7,13.9,7.1,5.2,8.5,17.3,25.8
2022/07/14_15:26:37,100,63,26,1.6,9.3,6.1,7.3,5.2,3.7,9.3,12.3
2022/07/14_15:26:38,100,81,27,0.5,1.3,4.8,1.6,5.9,18.4,3.4,5.4
2022/07/14_15:26:39,100,81,21,0.9,4.0,2.0,6.7,2.1,5.0,10.4,4.9
2022/07/14_15:26:40,100,75,23,0.4,4.5,2.1,2.1,2.8,3.5,5.6,2.7
2022/07/14_15:26:41,100,87,27,0.6,2.5,5.0,2.0,1.9,4.4,6.6,2.1
2022/07/14_15:26:42,100,87,27,0.6,2.5,5.0,2.0,1.9,4.4,6.6,2.1
2022/07/14_15:26:43,100,93,16,0.5,1.0,1.9,2.2,1.2,7.2,3.1,4.9
2022/07/14_15:26:44,100,96,17,0.1,6.3,0.9,6.4,0.9,8.6,4.8,2.3
2022/07/14_15:26:45,100,91,21,0.6,2.8,3.4,5.9,4.3,3.3,7.9,4.7
2022/07/14_15:26:46,100,87,34,0.2,2.8,3.0,1.5,1.5,5.2,3.9,1.5
2022/07/14_15:26:47,100,87,34,0.2,2.8,3.0,1.5,1.5,5.2,3.9,1.5
2022/07/14_15:26:48,100,91,17,0.6,2.3,1.0,1.4,1.0,3.7,2.1,4.6
2022/07/14_15:26:49,100,97,16,0.4,1.7,4.7,1.1,1.3,5.1,2.0,2.8
2022/07/14_15:26:50,100,91,17,0.2,2.8,4.5,1.0,6.3,2.6,2.9,2.3
2022/07/14_15:26:51,100,69,23,0.4,9.1,2.9,3.0,0.6,4.2,2.5,2.6
2022/07/14_15:26:52,100,67,40,1.2,1.6,1.6,5.3,1.9,3.5,6.9,7.2
