Time,Good Signal Quality(0-100),Attention,Meditation,Delta,Theta,Low Alpha,High Alpha,Low Beta,High Beta,Low Gamma,High Gamma
2022/07/14_15:27:55,100,87,27,1.1,0.4,2.5,1.1,1.7,6.0,1.6,2.1
2022/07/14_15:27:56,100,87,27,1.1,0.4,2.5,1.1,1.7,6.0,1.6,2.1
2022/07/14_15:27:57,100,96,10,0.3,3.8,2.0,2.6,1.2,4.2,2.8,2.2
2022/07/14_15:27:58,100,91,10,2.4,2.8,0.2,1.9,2.7,3.5,2.4,1.7
2022/07/14_15:27:59,100,84,1,1.4,2.7,0.7,2.2,16.0,5.3,3.5,4.6
2022/07/14_15:28:00,100,87,1,2.0,3.1,1.7,1.9,2.4,10.9,5.7,6.6
2022/07/14_15:28:01,100,87,1,2.0,3.1,1.7,1.9,2.4,10.9,5.7,6.6
2022/07/14_15:28:02,100,83,1,0.8,2.5,2.6,3.4,1.9,8.2,4.8,3.9
2022/07/14_15:28:03,100,80,16,0.4,4.4,4.2,2.7,2.1,6.9,3.9,2.8
2022/07/14_15:28:04,100,63,29,0.7,7.2,2.8,7.5,3.3,3.9,8.6,3.3
2022/07/14_15:28:05,100,74,16,0.2,4.4,0.7,1.7,2.7,5.6,3.1,4.6
2022/07/14_15:28:06,100,69,16,0.7,2.9,6.4,0.4,4.9,5.2,3.5,2.9
2022/07/14_15:28:07,100,74,26,0.3,1.4,7.9,1.8,3.3,7.8,3.8,1.9
2022/07/14_15:28:08,100,81,29,0.6,2.4,0.9,5.6,2.1,4.7,3.1,2.3
2022/07/14_15:28:09,100,69,35,1.3,13.3,1.8,5.8,3.3,4.4,5.0,1.7
2022/07/14_15:28:10,100,67,40,0.7,4.0,8.4,3.4,5.1,7.0,3.2,2.6
2022/07/14_15:28:11,100,66,50,0.3,0.2,4.4,2.5,0.7,3.8,6.7,3.5
2022/07/14_15:28:12,100,66,50,0.3,0.2,4.4,2.5,0.7,3.8,6.7,3.5
2022/07/14_15:28:13,100,70,61,1.0,2.4,4.3,3.9,2.3,3.1,4.8,2.2
2022/07/14_15:28:14,100,70,69,1.5,2.4,6.6,5.7,1.8,5.2,5.2,3.5
2022/07/14_15:28:15,100,61,67,1.3,2.0,7.7,6.9,3.4,3.5,6.3,3.1
2022/07/14_15:28:16,100,66,75,2.3,3.1,6.8,1.4,1.6,8.2,3.6,3.6
2022/07/14_15:28:17,100,70,61,0.8,2.5,1.4,2.0,2.0,4.0,5.3,2.1
2022/07/14_15:28:18,100,67,48,0.2,4.3,3.5,3.9,2.3,3.4,2.9,3.8
2022/07/14_15:28:19,100,75,38,0.4,3.0,3.8,5.2,2.9,6.4,3.5,3.3
2022/07/14_15:28:20,100,69,41,0.8,2.8,5.5,3.4,4.0,4.6,8.2,2.9
2022/07/14_15:28:21,100,70,40,0.3,3.1,1.6,2.2,2.1,5.7,3.9,2.9
2022/07/14_15:28:22,100,77,43,0.2,1.6,2.2,3.3,2.2,3.2,2.5,3.1
2022/07/14_15:28:23,100,78,30,0.8,4.3,3.9,2.1,3.7,9.2,4.6,2.6
2022/07/14_15:28:24,100,87,24,0.8,1.9,0.7,4.8,5.7,7.7,5.9,3.8
